value,date
34,4/7/22
48,4/6/22
53,4/5/22
52,4/4/22
48,4/3/22
52,4/2/22
50,4/1/22
52,3/31/22
55,3/30/22
56,3/29/22
60,3/28/22
49,3/27/22
51,3/26/22
47,3/25/22
40,3/24/22
31,3/23/22
26,3/22/22
30,3/21/22
31,3/20/22
28,3/19/22
25,3/18/22
27,3/17/22
24,3/16/22
21,3/15/22
23,3/14/22
21,3/13/22
22,3/12/22
22,3/11/22
28,3/10/22
22,3/9/22
21,3/8/22
23,3/7/22
22,3/6/22
22,3/5/22
33,3/4/22
39,3/3/22
52,3/2/22
51,3/1/22
20,2/28/22
26,2/27/22
26,2/26/22
27,2/25/22
23,2/24/22
25,2/23/22
20,2/22/22
25,2/21/22
27,2/20/22
25,2/19/22
30,2/18/22
52,2/17/22
51,2/16/22
46,2/15/22
46,2/14/22
44,2/13/22
44,2/12/22
50,2/11/22
50,2/10/22
54,2/9/22
48,2/8/22
45,2/7/22
37,2/6/22
33,2/5/22
20,2/4/22
20,2/3/22
28,2/2/22
26,2/1/22
20,1/31/22
29,1/30/22
24,1/29/22
24,1/28/22
20,1/27/22
23,1/26/22
12,1/25/22
13,1/24/22
11,1/23/22
13,1/22/22
19,1/21/22
24,1/20/22
24,1/19/22
24,1/18/22
22,1/17/22
21,1/16/22
23,1/15/22
21,1/14/22
21,1/13/22
22,1/12/22
21,1/11/22
23,1/10/22
23,1/9/22
10,1/8/22
18,1/7/22
15,1/6/22
24,1/5/22
23,1/4/22
29,1/3/22
29,1/2/22
21,1/1/22
28,12/31/21
22,12/30/21
27,12/29/21
41,12/28/21
40,12/27/21
37,12/26/21
39,12/25/21
41,12/24/21
34,12/23/21
45,12/22/21
27,12/21/21
25,12/20/21
29,12/19/21
24,12/18/21
23,12/17/21
29,12/16/21
28,12/15/21
21,12/14/21
28,12/13/21
27,12/12/21
16,12/11/21
24,12/10/21
29,12/9/21
28,12/8/21
25,12/7/21
16,12/6/21
18,12/5/21
25,12/4/21
31,12/3/21
32,12/2/21
34,12/1/21
40,11/30/21
33,11/29/21
27,11/28/21
21,11/27/21
47,11/26/21
32,11/25/21
42,11/24/21
33,11/23/21
50,11/22/21
49,11/21/21
43,11/20/21
34,11/19/21
54,11/18/21
52,11/17/21
71,11/16/21
72,11/15/21
74,11/14/21
72,11/13/21
74,11/12/21
77,11/11/21
75,11/10/21
84,11/9/21
75,11/8/21
73,11/7/21
71,11/6/21
73,11/5/21
73,11/4/21
76,11/3/21
73,11/2/21
74,11/1/21
74,10/31/21
73,10/30/21
70,10/29/21
66,10/28/21
73,10/27/21
76,10/26/21
72,10/25/21
73,10/24/21
74,10/23/21
75,10/22/21
84,10/21/21
82,10/20/21
75,10/19/21
78,10/18/21
79,10/17/21
78,10/16/21
71,10/15/21
70,10/14/21
70,10/13/21
78,10/12/21
71,10/11/21
71,10/10/21
72,10/9/21
74,10/8/21
76,10/7/21